Source Row,Position Name,Facility,Department,Work Category,Specialty,Job Name,Source HR Department,Source Unit,Source Sub Unit,Source Staff Category,Source Work Speciality,Review Required,Review Reason,Work Category Confidence
2,HQ - MBRU-Manager - Academic Affairs Office-001,MBRU,Unassigned,Administration,,Manager - Academic Affairs Office,HQ - MBRU,,,Administration,,Yes,Department not available at required operational level,High
3,,MBRU,Unassigned,Administration,,Accountant,HQ - MBRU,,,Administration,,Yes,Department not available at required operational level,High
4,HQ - MBRU-Manager- HSE-001,MBRU,Unassigned,Administration,,Manager- HSE,HQ - MBRU,,,Administration,,Yes,Department not available at required operational level,High
5,,MBRU,Unassigned,Administration,,Specialist - Strategy & Institutional Excellence,HQ - MBRU,,,Administration,,Yes,Department not available at required operational level,High
6,,MBRU,Unassigned,Faculty,,Assistant Professor - Nursing Education,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
7,,MBRU,Unassigned,Faculty,,Postdoctoral Research Fellow,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
8,,MBRU,Unassigned,Faculty,,Associate Professor - Surgery,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
9,,MBRU,Unassigned,Faculty,,Postdoctoral Research Fellow,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
10,,MBRU,Unassigned,Faculty,,Postdoctoral Research Fellow,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
11,,MBRU,Unassigned,Faculty,,Postdoctoral Research Fellow,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
12,,MBRU,Unassigned,Faculty,,Assistant Professor - Nursing Education,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
13,,MBRU,Unassigned,Faculty,,Postdoctoral Research Fellow,HQ - MBRU,,,Faculty,,Yes,Department not available at required operational level,High
14,,MBRU,Unassigned,Unknown,,Research Associate,HQ - MBRU,,,,,Yes,Work Category unresolved; Department not available at required operational level,Low
15,HQ - MBRU-Administrative Officer-084,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
16,HQ - MBRU-Administrative Officer-088,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
17,HQ - MBRU-Administrative Officer-094,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
18,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
